,review_id,course_id,course_name
449,8737,2819,[CHEM W3546] Advanced Organic Chemistry Lab
450,8738,814,"[PSYC W1010] Mind, Brain, and Behavior"
451,8739,519,[ASCM V2008] Contemporary Islamic Civilization
452,8740,519,[ASCM V2008] Contemporary Islamic Civilization
453,8741,915,Foundations of American Lit. I
454,8742,505,[POLS W4321] Constitutional Law of Presidential-Congressional Relations
455,8743,2821,[POLS W3952] Comparative Politics Seminar: Regime Change in the Middle East
456,8744,2822,[POLS W3922] American Politics Seminar: Previewing the 2004 Election
457,8745,2781,[HIST W3432] U.S. in the Era of Civil War and Reconstruction
458,8746,1352,Sociological Imagination
459,8747,2643,[W2257] Global Economy
460,8748,449,[BC1001] Introduction to Macroeconomics
461,8749,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
462,8750,825,[ENGL W3230] Joyce
463,8751,1633,[HIST W3441] Making of the Modern American Landscape
464,8752,1053,[PSYC W2240] Human Communication
465,8753,5185,[MATH V1102] Calculus II
466,8754,2203,[C1404] General Chemistry II
467,8755,3416,[PHYS V1202] General Physics II
468,8756,2826,"Popular Musics of the Caribbean: Salsa, Soca, and Reggae"
469,8757,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
470,8758,310,[W3001] Structure and Style I
471,8761,814,"[PSYC W1010] Mind, Brain, and Behavior"
472,8762,2828,"ODE, PDE"
473,8763,3419,[MATH V4042] Introduction to Modern Algebra II
474,8764,234,[COMS W3261] Computer Science Theory: Computability - Models - Computation
475,8765,2830,[CSEE E6717] Information Theory
476,8767,1993,Stochastic Modeling
477,8768,5192,[MATH V1208] Honors Math IV
478,8769,2831,Chem lab 1500
479,8770,3601,[PSYC W1001] Science of Psychology
480,8771,3633,[W3213] Intermediate Macroeconomics 
481,8772,1808,"[PHYS C1402] Intro to Electricity, Magnetism and Optics"
482,8773,2832,Chem C3080 PHYSICAL CHEMISTRY II
483,8774,3419,[MATH V4042] Introduction to Modern Algebra II
484,8775,5190,[MATH V4062] Intro to Modern Analysis II
485,8776,2835,Mickiewicz
486,8777,2643,[W2257] Global Economy
487,8779,2836,Advanced Oral/Written Spanish
488,8780,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
489,8781,449,[BC1001] Introduction to Macroeconomics
490,8782,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
491,8783,4619,[PSYC BC1138] Social Psychology (lecture)
492,8785,3463,[PSYC W1450] Experimental Psych: Social Cognition and Emotion
493,8786,2838,Health Psychology
494,8787,346,[PSYC W2280] Introduction to Developmental Psychology
495,8788,5176,[HIST BC1402] American Civilization Since the Civil War
496,8789,2461,Dance History I
497,8790,3480,[BIOL BC2001] Molecular and Cell Biology
498,8791,2056,[ASTR 1404] Beyond the Solar System
499,8792,2141,[HIST BC1062] Introduction to the Later Middle Ages: 1050-1450
500,8793.0,,
501,8794,351,[FREN W1201] Intermediate French I
502,8795,2840,Production Planning
503,8796,1376,The Canterbury Tales
